Loading ../../cache/ecapa_speechbrain_paddle/ecapa_speechbrain_paddle_scores_0.npy...
Loading ../../cache/ecapa_speechbrain_paddle/ecapa_speechbrain_paddle_labels_0.npy...
labels: (4935062,)
scores: (4935062,)
EER: 0.07062511846854284
minDCF: 0.3749292255017031
thresh: 0.6681441823999446
threshold		precision		recall
0.6000		3.19%		96.86%
0.6100		3.54%		96.44%
0.6200		3.95%		96.00%
0.6300		4.44%		95.60%
0.6400		5.03%		95.07%
0.6500		5.75%		94.40%
0.6600		6.61%		93.55%
0.6700		7.70%		92.81%
0.6800		9.04%		91.76%
0.6900		10.70%		90.38%
0.7000		12.76%		89.12%
0.7100		15.30%		87.43%
0.7200		18.46%		85.34%
0.7300		22.47%		83.26%
0.7400		27.28%		80.74%
0.7500		33.16%		78.01%
0.7600		40.19%		74.88%
0.7700		48.20%		71.42%
0.7800		56.78%		67.53%
0.7900		65.86%		63.35%
0.8000		74.08%		58.59%
0.8100		81.20%		53.71%
0.8200		86.69%		48.45%
0.8300		90.95%		42.86%
0.8400		94.01%		37.18%
0.8500		95.85%		31.73%
0.8600		96.58%		26.38%
0.8700		96.79%		21.23%
0.8800		96.86%		16.77%
0.8900		96.60%		12.42%
0.9000		96.45%		9.02%
